path,offset_sec,vstart_sec
2015-02-16-16-49-06_denoised_1147,-0.33,1.56
2015-02-16-16-49-06_denoised_444,2.0,0.8
2015-02-16-16-49-06_denoised_158,-0.33,2.28
2015-02-16-16-49-06_denoised_1656,0.0,2.28
2015-02-16-16-49-06_denoised_1361,0.0,0.48
2015-02-16-16-49-06_denoised_1622,1.0,1.12
2015-02-16-16-49-06_denoised_1784,-1.33,1.44
2015-02-16-16-49-06_denoised_43,-0.67,0.72
2015-02-16-16-49-06_denoised_719,0.0,0.0
2015-02-16-16-49-06_denoised_915,-2.0,2.56
2015-02-16-16-49-06_denoised_645,0.0,2.8
2015-02-16-16-49-06_denoised_197,-0.33,2.04
2015-02-16-16-49-06_denoised_1554,0.0,1.12
2015-02-16-16-49-06_denoised_1600,0.0,2.12
2015-02-16-16-49-06_denoised_861,1.0,0.24
2015-02-16-16-49-06_denoised_508,-1.0,1.36
2015-02-16-16-49-06_denoised_774,0.0,2.04
2015-02-16-16-49-06_denoised_1167,-1.33,2.64
2015-02-16-16-49-06_denoised_1439,0.0,0.6
2015-02-16-16-49-06_denoised_1488,1.0,1.04
2015-02-16-16-49-06_denoised_971,0.0,1.04
2015-02-16-16-49-06_denoised_704,0.0,2.96
2015-02-16-16-49-06_denoised_948,0.0,0.92
2015-02-16-16-49-06_denoised_751,0.0,0.76
2015-02-16-16-49-06_denoised_1030,0.67,1.76
2015-02-16-16-49-06_denoised_1636,0.0,0.56
2015-02-16-16-49-06_denoised_1192,0.0,2.24
2015-02-16-16-49-06_denoised_1515,1.0,0.84
2015-02-16-16-49-06_denoised_574,-0.67,2.76
2015-02-16-16-49-06_denoised_174,0.0,1.92
2015-02-16-16-49-06_denoised_899,-0.33,1.76
2015-02-16-16-49-06_denoised_262,-1.0,2.32
2015-02-16-16-49-06_denoised_60,0.0,2.28
2015-02-16-16-49-06_denoised_1580,-1.0,2.56
2015-02-16-16-49-06_denoised_145,-1.67,2.04
2015-02-16-16-49-06_denoised_27,0.0,0.92
2015-02-16-16-49-06_denoised_1288,0.67,1.88
2015-02-16-16-49-06_denoised_392,0.0,2.84
2015-02-16-16-49-06_denoised_1692,0.0,1.24
2015-02-16-16-49-06_denoised_211,0.0,2.24
2015-02-16-16-49-06_denoised_1462,0.67,1.04
2015-02-16-16-49-06_denoised_931,0.0,2.56
2015-02-16-16-49-06_denoised_1403,0.0,1.0
2015-02-16-16-49-06_denoised_805,0.0,0.2
2015-02-16-16-49-06_denoised_330,1.0,1.0
2015-02-16-16-49-06_denoised_1081,0.0,1.6
2015-02-16-16-49-06_denoised_490,-1.33,2.08
2015-02-16-16-49-06_denoised_1757,1.67,0.64
2015-02-16-16-49-06_denoised_1238,1.0,1.28
2015-02-16-16-49-06_denoised_532,0.0,2.36
2015-02-16-16-49-06_denoised_413,0.67,1.6
2015-02-16-16-49-06_denoised_313,-2.0,2.32
2015-02-16-16-49-06_denoised_1303,0.0,2.32
2015-02-16-16-49-06_denoised_236,1.0,0.0
2015-02-16-16-49-06_denoised_119,-0.33,0.4
2015-02-16-16-49-06_denoised_1806,0.33,0.92
2015-02-16-16-49-06_denoised_819,-1.0,2.4
2015-02-16-16-49-06_denoised_475,2.0,0.08
2015-02-16-16-49-06_denoised_1261,0.0,0.96
2015-02-16-16-49-06_denoised_1062,-0.67,1.52
2015-02-16-16-49-06_denoised_106,0.0,1.32
2015-02-16-16-49-06_denoised_733,-2.0,2.2
2015-02-16-16-49-06_denoised_846,1.67,1.16
2015-02-16-16-49-06_denoised_792,2.0,0.84
2015-02-16-16-49-06_denoised_1004,0.0,1.8
2015-02-16-16-49-06_denoised_1117,-1.67,2.6
2015-02-16-16-49-06_denoised_595,0.0,0.8
2015-02-16-16-49-06_denoised_1675,0.0,1.08
2015-02-16-16-49-06_denoised_431,0.0,2.52
2015-02-16-16-49-06_denoised_1705,-2.0,2.04
2015-02-16-16-49-06_denoised_1333,0.0,1.56
2015-02-16-16-49-06_denoised_1047,0.0,2.8
2015-02-16-16-49-06_denoised_672,0.0,0.44
2015-02-16-16-56-35_denoised_808,0.0,0.16
2015-02-16-16-56-35_denoised_133,-2.0,2.72
2015-02-16-16-56-35_denoised_70,1.0,1.08
2015-02-16-16-56-35_denoised_1034,-1.33,2.88
2015-02-16-16-56-35_denoised_757,0.33,1.16
2015-02-16-16-56-35_denoised_115,1.33,0.96
2015-02-16-16-56-35_denoised_301,0.0,2.16
2015-02-16-16-56-35_denoised_1000,-0.33,1.24
2015-02-16-16-56-35_denoised_30,-1.0,2.52
2015-02-16-16-56-35_denoised_491,-1.33,2.52
2015-02-16-16-56-35_denoised_737,0.0,1.92
2015-02-16-16-56-35_denoised_1117,0.0,1.92
2015-02-16-16-56-35_denoised_447,-0.33,2.36
2015-02-16-16-56-35_denoised_892,0.0,2.04
2015-02-16-16-56-35_denoised_518,1.0,1.88
2015-02-16-16-56-35_denoised_50,-1.33,2.48
2015-02-16-16-56-35_denoised_1064,0.0,1.72
2015-02-16-16-56-35_denoised_674,1.33,0.64
2015-02-16-16-56-35_denoised_351,0.0,1.6
2015-02-16-16-56-35_denoised_852,1.33,0.56
2015-02-16-16-56-35_denoised_505,1.0,0.76
2015-02-16-16-56-35_denoised_185,-1.33,1.68
2015-02-16-16-56-35_denoised_556,0.33,0.4
2015-02-16-16-56-35_denoised_828,0.0,0.08
2015-02-16-16-56-35_denoised_265,0.0,2.56
2015-02-16-16-56-35_denoised_427,-1.0,1.08
2015-02-16-16-56-35_denoised_794,0.0,2.12
2015-02-16-16-56-35_denoised_574,0.0,2.52
2015-02-16-16-56-35_denoised_91,1.0,0.52
2015-02-16-16-56-35_denoised_219,-0.33,2.08
2015-02-16-16-56-35_denoised_774,0.0,1.72
2015-02-16-16-56-35_denoised_249,0.0,1.16
2015-02-16-16-56-35_denoised_600,0.0,2.0
2015-02-16-16-56-35_denoised_700,-0.67,2.56
2015-02-16-16-56-35_denoised_624,-1.33,1.84
2015-02-16-16-56-35_denoised_929,0.0,0.76
2015-02-16-16-56-35_denoised_642,1.33,0.64
2015-02-16-16-56-35_denoised_406,0.0,1.8
2015-02-16-16-56-35_denoised_201,-1.33,2.12
2015-02-16-16-56-35_denoised_1020,0.0,2.2
2015-02-16-16-56-35_denoised_534,0.0,1.76
2015-02-16-16-56-35_denoised_865,0.0,1.28
2015-02-16-16-56-35_denoised_373,1.67,0.6
2015-02-16-16-56-35_denoised_1051,0.0,0.84
2015-02-16-16-56-35_denoised_905,0.0,0.52
2015-02-16-16-56-35_denoised_974,0.0,1.56
2015-02-16-16-58-57_denoised_831,0.0,0.96
2015-02-16-16-58-57_denoised_269,0.33,0.04
2015-02-16-16-58-57_denoised_909,0.0,0.92
2015-02-16-16-58-57_denoised_878,1.33,0.24
2015-02-16-16-58-57_denoised_621,-2.0,2.76
2015-02-16-16-58-57_denoised_643,-1.33,2.52
2015-02-16-16-58-57_denoised_192,0.0,2.36
2015-02-16-16-58-57_denoised_361,0.33,2.36
2015-02-16-16-58-57_denoised_432,1.0,1.24
2015-02-16-16-58-57_denoised_493,0.0,2.32
2015-02-16-16-58-57_denoised_947,0.0,1.76
2015-02-16-16-58-57_denoised_667,0.0,1.48
2015-02-16-16-58-57_denoised_726,0.0,2.44
2015-02-16-16-58-57_denoised_709,0.0,2.0
2015-02-16-16-58-57_denoised_556,-1.33,1.92
2015-02-16-16-58-57_denoised_593,-1.67,2.32
2015-02-16-16-58-57_denoised_782,0.0,1.4
2015-02-16-16-58-57_denoised_896,0.0,0.28
2015-02-16-16-58-57_denoised_971,-0.67,2.72
2015-02-16-16-58-57_denoised_570,0.67,0.84
2015-02-16-16-58-57_denoised_845,0.0,1.52
2015-02-16-16-58-57_denoised_131,2.0,0.16
2015-02-16-16-58-57_denoised_1004,-0.33,2.84
2015-02-16-16-58-57_denoised_858,-0.67,0.92
2015-02-16-16-58-57_denoised_164,-1.67,2.08
2015-02-16-16-58-57_denoised_986,-0.67,1.92
2015-02-16-16-58-57_denoised_316,0.0,1.64
2015-02-16-16-58-57_denoised_177,0.67,1.88
2015-02-16-16-58-57_denoised_805,-0.33,0.84
2015-02-16-16-58-57_denoised_746,-2.0,2.12
2015-02-16-16-58-57_denoised_683,0.33,0.92
2015-02-16-16-58-57_denoised_298,1.33,0.6
2015-02-16-16-58-57_denoised_330,0.0,0.8
2015-02-16-16-58-57_denoised_69,-0.67,1.12
2015-02-16-16-58-57_denoised_46,0.0,0.12
2015-02-16-16-58-57_denoised_515,0.0,1.24
2015-02-16-16-58-57_denoised_106,0.0,1.36
2015-02-16-16-58-57_denoised_224,2.0,0.52
2015-02-16-16-58-57_denoised_477,1.67,0.56
2015-02-16-16-58-57_denoised_383,-0.67,1.28
2015-02-16-16-58-57_denoised_453,0.0,2.4
2015-02-16-17-02-05_denoised_464,-1.0,1.56
2015-02-16-17-02-05_denoised_132,-2.0,2.36
2015-02-16-17-02-05_denoised_338,-1.0,1.24
2015-02-16-17-02-05_denoised_1005,-1.0,1.56
2015-02-16-17-02-05_denoised_882,1.67,0.92
2015-02-16-17-02-05_denoised_410,0.0,0.68
2015-02-16-17-02-05_denoised_257,0.0,2.56
2015-02-16-17-02-05_denoised_637,0.0,2.96
2015-02-16-17-02-05_denoised_270,0.0,0.08
2015-02-16-17-02-05_denoised_106,0.33,1.24
2015-02-16-17-02-05_denoised_909,-2.0,2.96
2015-02-16-17-02-05_denoised_239,0.0,0.16
2015-02-16-17-02-05_denoised_960,-0.67,2.6
2015-02-16-17-02-05_denoised_693,0.0,0.24
2015-02-16-17-02-05_denoised_790,2.0,0.28
2015-02-16-17-02-05_denoised_1030,0.0,1.96
2015-02-16-17-02-05_denoised_745,0.0,0.56
2015-02-16-17-02-05_denoised_853,0.0,2.04
2015-02-16-17-02-05_denoised_374,0.0,2.2
2015-02-16-17-02-05_denoised_803,-2.0,2.28
2015-02-16-17-02-05_denoised_602,0.0,2.12
2015-02-16-17-02-05_denoised_185,0.0,1.96
2015-02-16-17-02-05_denoised_548,-1.33,1.76
2015-02-16-17-02-05_denoised_973,2.0,0.04
2015-02-16-17-02-05_denoised_392,0.0,1.44
2015-02-16-17-02-05_denoised_38,0.0,0.52
2015-02-16-17-02-05_denoised_581,2.0,0.08
2015-02-16-17-02-05_denoised_924,0.0,1.0
2015-02-16-17-02-05_denoised_317,1.0,0.84
2015-02-16-17-02-05_denoised_450,1.33,0.92
2015-02-16-17-02-05_denoised_424,0.0,2.16
2015-02-16-17-02-05_denoised_767,0.33,1.56
2015-02-16-17-02-05_denoised_833,0.0,2.12
2015-02-16-17-02-05_denoised_526,2.0,0.48
2015-02-16-17-02-05_denoised_59,0.67,1.08
2015-02-16-17-02-05_denoised_78,0.0,1.84
2015-02-16-17-02-05_denoised_728,-1.0,1.68
2015-02-16-17-02-05_denoised_210,-1.33,2.48
2015-02-16-17-02-05_denoised_947,-2.0,2.96
2015-02-16-17-02-05_denoised_482,0.0,2.52
2015-02-16-17-02-05_denoised_285,2.0,0.56
2015-02-16-17-02-05_denoised_680,0.0,0.0
2015-02-16-17-03-55_denoised_914,-1.0,2.08
2015-02-16-17-03-55_denoised_389,1.0,1.44
2015-02-16-17-03-55_denoised_1118,-0.67,1.72
2015-02-16-17-03-55_denoised_308,-0.67,1.24
2015-02-16-17-03-55_denoised_520,0.0,2.52
2015-02-16-17-03-55_denoised_1054,0.0,0.84
2015-02-16-17-03-55_denoised_285,0.0,2.52
2015-02-16-17-03-55_denoised_123,1.67,1.08
2015-02-16-17-03-55_denoised_779,0.0,0.32
2015-02-16-17-03-55_denoised_349,-0.33,1.24
2015-02-16-17-03-55_denoised_950,0.0,2.36
2015-02-16-17-03-55_denoised_373,0.0,2.16
2015-02-16-17-03-55_denoised_582,1.67,0.48
2015-02-16-17-03-55_denoised_740,0.0,1.48
2015-02-16-17-03-55_denoised_220,0.0,1.04
2015-02-16-17-03-55_denoised_198,1.33,0.08
2015-02-16-17-03-55_denoised_887,0.0,2.84
2015-02-16-17-03-55_denoised_240,-1.33,2.6
2015-02-16-17-03-55_denoised_629,-1.0,2.4
2015-02-16-17-03-55_denoised_545,-1.67,2.04
2015-02-16-17-03-55_denoised_109,0.0,2.88
2015-02-16-17-03-55_denoised_933,0.0,1.84
2015-02-16-17-03-55_denoised_503,-1.33,1.56
2015-02-16-17-03-55_denoised_266,0.0,1.8
2015-02-16-17-03-55_denoised_481,0.33,1.88
