path,offset_sec,vstart_sec
2015-02-16-16-49-06_denoised_1768,-2.0,2.24
2015-02-16-16-49-06_denoised_617,-2.0,2.2
2015-02-16-16-49-06_denoised_164,0.0,1.68
2015-02-16-16-49-06_denoised_793,-2.0,2.92
2015-02-16-16-49-06_denoised_1205,-2.0,2.52
2015-02-16-16-49-06_denoised_354,-2.0,2.56
2015-02-16-16-49-06_denoised_308,2.0,0.4
2015-02-16-16-49-06_denoised_1318,0.0,0.24
2015-02-16-16-49-06_denoised_524,2.0,0.96
2015-02-16-16-49-06_denoised_1648,0.0,1.12
2015-02-16-16-49-06_denoised_859,0.0,1.4
2015-02-16-16-49-06_denoised_1515,-2.0,2.64
2015-02-16-16-49-06_denoised_1037,2.0,0.64
2015-02-16-16-49-06_denoised_1253,2.0,0.68
2015-02-16-16-49-06_denoised_1059,0.0,2.64
2015-02-16-16-49-06_denoised_1144,-2.0,2.12
2015-02-16-16-49-06_denoised_548,-2.0,2.32
2015-02-16-16-49-06_denoised_1472,-2.0,2.56
2015-02-16-16-49-06_denoised_1082,-2.0,2.16
2015-02-16-16-49-06_denoised_1667,0.0,2.84
2015-02-16-16-49-06_denoised_1296,-2.0,2.2
2015-02-16-16-49-06_denoised_211,0.0,2.96
2015-02-16-16-49-06_denoised_261,-2.0,2.6
2015-02-16-16-49-06_denoised_1274,0.0,0.4
2015-02-16-16-49-06_denoised_1123,-2.0,2.32
2015-02-16-16-49-06_denoised_997,-2.0,2.4
2015-02-16-16-49-06_denoised_1757,2.0,0.76
2015-02-16-16-49-06_denoised_92,0.0,0.68
2015-02-16-16-49-06_denoised_1102,0.0,0.08
2015-02-16-16-49-06_denoised_737,-2.0,2.2
2015-02-16-16-49-06_denoised_1730,2.0,0.72
2015-02-16-16-49-06_denoised_1716,2.0,0.24
2015-02-16-16-49-06_denoised_188,-2.0,2.56
2015-02-16-16-49-06_denoised_1707,0.0,2.2
2015-02-16-16-49-06_denoised_1186,0.0,0.6
2015-02-16-16-49-06_denoised_1778,0.0,0.96
2015-02-16-16-49-06_denoised_328,2.0,0.44
2015-02-16-16-49-06_denoised_712,2.0,0.64
2015-02-16-16-49-06_denoised_578,-2.0,2.48
2015-02-16-16-49-06_denoised_235,2.0,0.68
2015-02-16-16-49-06_denoised_118,0.0,0.28
2015-02-16-16-49-06_denoised_1228,-2.0,2.32
